account_id,probability_score_n
P65jWY8mZ5tA,0.00013883865904062986
ihKgIeZ3sXc3,1.7539134205435403e-05
9DyC5OwiUcaq,4.817834633286111e-05
eiSQ7xzmHbbl,5.0198170356452465e-05
EuNN0DY7qg5n,5.0198170356452465e-05
r5YTkfzTIIZD,0.00037134383455850184
P9aothRC4sgB,0.00037134383455850184
AECmhbnk2uNx,4.786757563124411e-05
Jm4FC7SjiwAY,1.8140663087251596e-05
BD3H9tsN0vCU,2.6094932763953693e-05
Fh02chJPHM0S,2.6094932763953693e-05
ycn9mcp7jcih,1.371088728774339e-05
3Y6jVmUixtMp,2.6094932763953693e-05
8mvhcBuGbSXb,2.5045115762623027e-05
NTtCpSPVKcLB,1.6026726370910183e-05
ErIFJ6KpKDr5,1.371088728774339e-05
bYHkzbAasIVI,5.564551611314528e-05
MO2LzHQZUqc8,1.6064122974057682e-05
pMrDYkI25LtS,1.6064122974057682e-05
7q7OcLsk29if,2.7729611247195862e-05
RTUsDvnAFV01,2.7729611247195862e-05
I5TTWRCEobvC,1.5113675544853322e-05
2841RIB2r1kl,3.4399592550471425e-05
4gEDgF5Zeb6Y,3.4399592550471425e-05
aj8BUF4e2mJS,0.00026856092154048383
I7U2MhzXG8hO,0.0010327878408133984
stKMCyi12pIt,0.00019076024182140827
1aViumr2l213,0.020483619818180174
kxTgU6e6NVLY,8.332756988238543e-05
4AiY75oKG9lA,8.332756988238543e-05
iUHZs44XsiZX,8.732036803849041e-05
NDFUDrTM0iKt,0.0019372240977836663
Q8rlPizj25X5,0.0002776720211841166
ButCQ0ClU9rl,0.0002623078180477023
Iy0dpWE8WOOT,0.0002623078180477023
oERGrclB4IPI,8.732036803849041e-05
kW491Z6d2Rte,8.732036803849041e-05
BiknIg5EN7Es,0.00019076024182140827
vEV5GOZe1pEi,0.00010911821300396696
ima5tUEtrLcV,0.00010911821300396696
wyFjgxuE1o8b,0.00017595634562894702
hGHgFl8T287q,0.00017595634562894702
UOD5EvhytdDK,0.0004320093721617013
ZmUMVThO3qgF,8.503544086124748e-05
soVQGCFggLGI,0.0005794462631456554
nZgevE608cYP,0.0007434056606143713
5HSEOjumONWO,0.00015333897317759693
MSxRoMPLKENI,7.138422370189801e-05
4YZSx4sg2fBs,0.0002623078180477023
GETx5tlCDVw1,0.0002623078180477023
CkgwcZdn6K4k,0.0002623078180477023
d7XY5Z5dgVZa,0.0002623078180477023
YQl8Ancvznz3,0.0018153302371501923
Dix7QYJLDQkV,5.78614417463541e-05
hbkeXCI3JdVk,3.5242537705926225e-05
JJh36Ah5uxeg,0.017090703905123895
LTtr8PHtlTnL,0.0002594662946648896
w7irfWi1oJAc,0.00032723782351240516
MRC7kKmOgKqp,0.00010911821300396696
i4CY30KpiGAO,0.009313500622332911
nHaSfqqyIR3b,0.0012246508849784732
JegIdPStVLhl,7.138422370189801e-05
dEL2l2nZOtCA,0.00023070808214120794
zQJEtxkYhJgn,0.00038254016544669867
zlBLjAKMojWO,0.0005046757287345827
qxYyaDZEXbGD,0.0002623078180477023
